transaction_id,amount_sar,channel,is_night
TXN-2026-00001,163.38,pos,0
TXN-2026-00002,76.25,pos,0
TXN-2026-00003,195.83,pos,0
TXN-2026-00004,559.83,online,0
TXN-2026-00005,67.97,pos,0
TXN-2026-00006,67.97,online,0
TXN-2026-00007,598.88,pos,0
TXN-2026-00008,226.09,online,0
TXN-2026-00009,51.25,online,0
TXN-2026-00010,172.62,online,0
TXN-2026-00011,51.62,online,0
TXN-2026-00012,51.48,online,0
TXN-2026-00013,120.34,atm,1
TXN-2026-00014,9.06,pos,0
TXN-2026-00015,11.36,pos,1
TXN-2026-00016,45.84,pos,1
TXN-2026-00017,26.7,pos,0
TXN-2026-00018,131.25,pos,0
TXN-2026-00019,30.28,pos,0
TXN-2026-00020,16.53,pos,0
TXN-2026-00021,522.58,pos,0
TXN-2026-00022,68.65,pos,1
TXN-2026-00023,97.62,atm,0
TXN-2026-00024,16.29,pos,0
TXN-2026-00025,46.84,online,0
TXN-2026-00026,102.83,pos,1
TXN-2026-00027,22.62,atm,0
TXN-2026-00028,141.29,online,0
TXN-2026-00029,43.78,online,0
TXN-2026-00030,63.43,online,0
TXN-2026-00031,43.73,pos,0
TXN-2026-00032,831.09,atm,1
TXN-2026-00033,88.57,online,0
TXN-2026-00034,25.3,online,1
TXN-2026-00035,241.54,online,0
TXN-2026-00036,20.8,pos,1
TXN-2026-00037,115.66,online,0
TXN-2026-00038,8.57,pos,0
TXN-2026-00039,18.29,online,1
TXN-2026-00040,114.0,pos,0
TXN-2026-00041,218.36,atm,0
TXN-2026-00042,110.57,pos,0
TXN-2026-00043,78.35,pos,0
TXN-2026-00044,62.72,online,0
TXN-2026-00045,15.27,online,0
TXN-2026-00046,37.95,online,0
TXN-2026-00047,51.79,pos,0
TXN-2026-00048,320.07,pos,0
TXN-2026-00049,135.96,online,0
TXN-2026-00050,10.85,atm,0
TXN-2026-00051,132.81,online,1
TXN-2026-00052,56.71,pos,0
TXN-2026-00053,39.95,atm,0
TXN-2026-00054,187.54,pos,1
TXN-2026-00055,310.19,pos,0
TXN-2026-00056,275.21,pos,0
TXN-2026-00057,32.88,pos,0
TXN-2026-00058,62.11,online,0
TXN-2026-00059,133.96,pos,0
TXN-2026-00060,290.22,pos,0
TXN-2026-00061,50.65,pos,0
TXN-2026-00062,72.04,pos,0
TXN-2026-00063,23.86,online,0
TXN-2026-00064,21.42,pos,0
TXN-2026-00065,238.66,pos,0
TXN-2026-00066,458.28,online,0
TXN-2026-00067,82.57,online,0
TXN-2026-00068,300.14,online,0
TXN-2026-00069,138.93,pos,0
TXN-2026-00070,41.51,online,1
TXN-2026-00071,138.89,atm,1
TXN-2026-00072,570.0,online,0
TXN-2026-00073,86.23,online,0
TXN-2026-00074,588.5,pos,0
TXN-2026-00075,3.88,atm,1
TXN-2026-00076,241.36,pos,0
TXN-2026-00077,99.93,pos,0
TXN-2026-00078,62.88,pos,0
TXN-2026-00079,100.5,pos,0
TXN-2026-00080,8.29,atm,0
TXN-2026-00081,69.16,online,0
TXN-2026-00082,138.18,online,0
TXN-2026-00083,530.32,online,0
TXN-2026-00084,48.33,pos,0
TXN-2026-00085,34.12,pos,0
TXN-2026-00086,49.3,online,0
TXN-2026-00087,270.02,online,1
TXN-2026-00088,133.55,pos,0
TXN-2026-00089,47.67,online,0
TXN-2026-00090,166.65,pos,0
TXN-2026-00091,101.14,pos,0
TXN-2026-00092,287.83,pos,0
TXN-2026-00093,38.77,pos,0
TXN-2026-00094,60.75,online,0
TXN-2026-00095,56.23,online,0
TXN-2026-00096,15.55,pos,0
TXN-2026-00097,128.42,online,0
TXN-2026-00098,123.13,online,0
TXN-2026-00099,90.57,pos,0
TXN-2026-00100,67.93,pos,0
TXN-2026-00101,16.47,atm,0
TXN-2026-00102,54.34,online,0
TXN-2026-00103,59.66,atm,0
TXN-2026-00104,34.37,pos,0
TXN-2026-00105,74.18,online,1
TXN-2026-00106,146.18,pos,1
TXN-2026-00107,865.6,pos,0
TXN-2026-00108,111.0,pos,0
TXN-2026-00109,122.62,pos,0
TXN-2026-00110,82.32,pos,0
TXN-2026-00111,9.0,pos,0
TXN-2026-00112,87.2,pos,0
TXN-2026-00113,96.76,online,1
TXN-2026-00114,1730.02,pos,0
TXN-2026-00115,71.46,pos,0
TXN-2026-00116,129.26,pos,1
TXN-2026-00117,86.34,pos,0
TXN-2026-00118,22.14,online,1
TXN-2026-00119,354.74,pos,0
TXN-2026-00120,221.92,online,0
TXN-2026-00121,232.58,pos,0
TXN-2026-00122,30.23,pos,0
TXN-2026-00123,484.61,online,0
TXN-2026-00124,16.74,online,0
TXN-2026-00125,182.04,pos,0
TXN-2026-00126,1247.06,online,0
TXN-2026-00127,27.42,pos,0
TXN-2026-00128,45.62,online,0
TXN-2026-00129,101.45,online,1
TXN-2026-00130,49.2,online,0
TXN-2026-00131,14.0,atm,0
TXN-2026-00132,97.74,pos,1
TXN-2026-00133,25.16,online,1
TXN-2026-00134,158.91,pos,0
TXN-2026-00135,29.87,pos,0
TXN-2026-00136,578.2,pos,0
TXN-2026-00137,35.17,pos,0
TXN-2026-00138,61.16,online,0
TXN-2026-00139,238.94,online,0
TXN-2026-00140,20.55,online,1
TXN-2026-00141,118.27,pos,0
TXN-2026-00142,432.06,pos,1
TXN-2026-00143,13.08,atm,0
TXN-2026-00144,112.34,pos,0
TXN-2026-00145,122.96,online,0
TXN-2026-00146,230.02,online,1
TXN-2026-00147,20.4,online,0
TXN-2026-00148,18.46,pos,0
TXN-2026-00149,168.4,online,1
TXN-2026-00150,128.56,pos,0
TXN-2026-00151,121.58,online,0
TXN-2026-00152,136.42,pos,1
TXN-2026-00153,39.8,pos,1
TXN-2026-00154,118.95,pos,0
TXN-2026-00155,127.96,online,0
